datetime,GHI,BNI,DHI,DBT,RH,Ws10,Wd10,Patmo,Rainfall
01-Jan-2022 00:10:00,0,0,0,21.912,79.71,0.1825,116.535,1016,0
01-Jan-2022 00:20:00,0,0,0,22.291,76.718,0.836,103.8988,1016,0
01-Jan-2022 00:30:00,0,0,0,22.614,74.331,0.9403,122.84,1016,0
01-Jan-2022 00:40:00,0,0,0,22.756,74.882,0.5832,116.872,1016,0
01-Jan-2022 00:50:00,0,0,0,22.889,76.018,0.5106,95.0346,1015.4,0
01-Jan-2022 01:00:00,0,0,0,22.903,76.535,0.2824,92.4481,1015,0
01-Jan-2022 01:10:00,0,0,0,22.86,77.014,0.1599,139.067,1015,0
01-Jan-2022 01:20:00,0,0,0,22.768,77.77,0.1485,146.895,1015,0
01-Jan-2022 01:30:00,0,0,0,22.573,78.637,0.1644,119.027,1015,0
01-Jan-2022 01:40:00,0,0,0,22.35,79.326,0.0927,74.7157,1015,0
01-Jan-2022 01:50:00,0,0,0,22.033,80.45,0.1358,77.477,1015,0
01-Jan-2022 02:00:00,0,0,0,21.791,81.62,0.1734,67.934,1015,0
01-Jan-2022 02:10:00,0,0,0,21.54,82.62,0.103,41.075,1015,0
01-Jan-2022 02:20:00,0,0,0,21.428,83.37,0.4969,43.803,1015,0
01-Jan-2022 02:30:00,0,0,0,21.605,82.33,0.7869,47.295,1015,0
01-Jan-2022 02:40:00,0,0,0,21.553,81.78,0.8991,67.378,1014.7,0
01-Jan-2022 02:50:00,0,0,0,21.442,81.67,0.3277,49.473,1014,0
01-Jan-2022 03:00:00,0,0,0,21.42,81.73,0.7683,37.932,1014,0
01-Jan-2022 03:10:00,0,0,0,21.561,81.17,0.2747,32.847,1014,0
01-Jan-2022 03:20:00,0,0,0,21.517,81.28,0.3926,30.256,1014,0
01-Jan-2022 03:30:00,0,0,0,21.485,81.85,0.3207,44.305,1014,0
01-Jan-2022 03:40:00,0,0,0,21.672,81.61,0.8466,38.8765,1014,0
01-Jan-2022 03:50:00,0,0,0,21.451,82.13,0.4567,34.978,1014,0
01-Jan-2022 04:00:00,0,0,0,21.28,82.82,0.4923,54.992,1014,0
01-Jan-2022 04:10:00,0,0,0,21.027,83.82,0.7212,46.217,1014,0
01-Jan-2022 04:20:00,0,0,0,20.975,84.36,1.3684,30.414,1014,0
